gene_name,coordinates,fig_name
P130CAS,"43,133,100,23",PMC2172299__200312013f8.jpg
PAXILLIN,"204,131,82,19",PMC2172299__200312013f8.jpg
FAK,"201,171,43,23",PMC2172299__200312013f8.jpg
CRK,"26,199,48,20",PMC2172299__200312013f8.jpg
RAC1,"119,304,74,24",PMC2172299__200312013f8.jpg
SHH,"135,8,60,22",PMC2659383__bpa0019-0132-f3.jpg
SMO,"204,114,49,15",PMC2659383__bpa0019-0132-f3.jpg
SUFU,"133,209,55,15",PMC2659383__bpa0019-0132-f3.jpg
ATM,"554,172,26,9",PMC2988105__nihms224319f6.jpg
P53,"617,264,28,13",PMC2988105__nihms224319f6.jpg
P21,"116,271,27,12",PMC2988105__nihms224319f6.jpg
NAG-1,"375,269,41,10",PMC2988105__nihms224319f6.jpg
ALCAMA,"32,127,66,14",PMC3036164__nihms259428f8.jpg
EDNRB1,"276,165,69,18",PMC3036164__nihms259428f8.jpg
EDN1,"405,209,43,14",PMC3036164__nihms259428f8.jpg
NADL1.1,"31,330,65,19",PMC3036164__nihms259428f8.jpg
HAND2,"232,363,54,14",PMC3036164__nihms259428f8.jpg
DLX3B,"235,382,46,14",PMC3036164__nihms259428f8.jpg
DLX5A,"235,400,46,15",PMC3036164__nihms259428f8.jpg
DLX6A,"235,419,46,14",PMC3036164__nihms259428f8.jpg
AKT,"371,121,13,7",PMC3068308__PRI2011-620601.004.jpg
AKT,"371,185,13,7",PMC3068308__PRI2011-620601.004.jpg
IL-6,"103,7,26,9",PMC3087811__nihms286343f8.jpg
FOXP3,"393,297,28,16",PMC3087811__nihms286343f8.jpg
IL-2,"109,396,25,10",PMC3087811__nihms286343f8.jpg
AKT,"290,863,19,20",PMC3233205__nihms323230f1.jpg
AP-1,"526,198,39,12",PMC3341532__nihms-362544-f0008.jpg
COX-2,"343,286,52,16",PMC3341532__nihms-362544-f0008.jpg
MCP-1,"403,286,61,16",PMC3341532__nihms-362544-f0008.jpg
JAGGED1,"404,74,169,30",PMC3365567__nihms378339f1.jpg
CBF1,"178,938,123,39",PMC3365567__nihms378339f1.jpg
CBF1,"435,938,94,46",PMC3365567__nihms378339f1.jpg
NOTCH,"559,382,72,-133",PMC3365567__nihms378339f1.jpg
NOTCH,"99,300,20,185",PMC3365567__nihms378339f1.jpg
AKT,"133,245,25,6",PMC3502787__CHRP2012-817304.002.jpg
AKT,"387,263,23,7",PMC3502787__CHRP2012-817304.002.jpg
CED-2,"254,21,64,17",PMC3521709__pgen.1003115.g001.jpg
CED-7,"548,21,65,15",PMC3521709__pgen.1003115.g001.jpg
ABL-1,"26,156,62,17",PMC3521709__pgen.1003115.g001.jpg
CED-5,"186,156,65,17",PMC3521709__pgen.1003115.g001.jpg
DOCK180,"168,181,101,17",PMC3521709__pgen.1003115.g001.jpg
CED-12,"312,156,77,15",PMC3521709__pgen.1003115.g001.jpg
CED-1,"550,157,62,15",PMC3521709__pgen.1003115.g001.jpg
CED-10,"247,287,77,16",PMC3521709__pgen.1003115.g001.jpg
RAC,"267,312,37,16",PMC3521709__pgen.1003115.g001.jpg
CED-6,"550,287,64,16",PMC3521709__pgen.1003115.g001.jpg
DYN-1,"549,432,62,15",PMC3521709__pgen.1003115.g001.jpg
DYNAMIN,"534,457,92,20",PMC3521709__pgen.1003115.g001.jpg
CLAUDIN-5,"583,19,61,11",PMC3591436__pone.0053370.g006.jpg
MMP-9,"221,256,46,11",PMC3591436__pone.0053370.g006.jpg
MMP-9,"328,303,45,11",PMC3591436__pone.0053370.g006.jpg
MLST8,"350,188,64,18",PMC3655991__pone.0064344.g007.jpg
MTORC1,"277,216,106,18",PMC3655991__pone.0064344.g007.jpg
RAPTOR,"256,250,64,22",PMC3655991__pone.0064344.g007.jpg
PERK,"62,361,71,19",PMC3655991__pone.0064344.g007.jpg
IRE1,"305,358,58,21",PMC3655991__pone.0064344.g007.jpg
ATF6,"530,362,64,18",PMC3655991__pone.0064344.g007.jpg
JNK,"178,701,44,17",PMC3655991__pone.0064344.g007.jpg
DLC-1,"86,42,105,31",PMC3789177__cddis2013319f6.jpg
KRI-1,"274,172,92,30",PMC3789177__cddis2013319f6.jpg
CEP-1,"395,354,107,33",PMC3789177__cddis2013319f6.jpg
LIN-35,"34,508,115,28",PMC3789177__cddis2013319f6.jpg
CED-9,"140,628,115,32",PMC3789177__cddis2013319f6.jpg
CED-4,"140,764,113,30",PMC3789177__cddis2013319f6.jpg
CED-3,"140,904,115,29",PMC3789177__cddis2013319f6.jpg
APOE3,"349,88,79,24",PMC3920964__cddis2013410f5.jpg
APOE2,"166,113,77,25",PMC3920964__cddis2013410f5.jpg
APOE4,"474,113,79,24",PMC3920964__cddis2013410f5.jpg
LRP1,"303,271,59,19",PMC3920964__cddis2013410f5.jpg
CYPA,"258,346,67,31",PMC3920964__cddis2013410f5.jpg
MMP-9,"365,504,84,21",PMC3920964__cddis2013410f5.jpg
IGF1,"212,13,50,16",PMC3932947__2040-2392-5-9-7.jpg
IGF1R,"326,13,70,17",PMC3932947__2040-2392-5-9-7.jpg
PDK1,"92,230,58,15",PMC3932947__2040-2392-5-9-7.jpg
AKT,"484,235,51,14",PMC3932947__2040-2392-5-9-7.jpg
MTORC1,"465,350,95,18",PMC3932947__2040-2392-5-9-7.jpg
S6K,"279,429,41,16",PMC3932947__2040-2392-5-9-7.jpg
EN2,"287,558,37,15",PMC3932947__2040-2392-5-9-7.jpg
AKT,"338,179,34,14",PMC3946494__nihms540696f6.jpg
LIPOCALIN2,"267,474,50,13",PMC3946494__nihms540696f6.jpg
H2AX,"50,109,61,22",PMC3978517__genes-05-00147-g002.jpg
RPA,"235,124,35,26",PMC3978517__genes-05-00147-g002.jpg
H2AX,"630,109,60,22",PMC3978517__genes-05-00147-g002.jpg
ATRIP,"305,129,50,19",PMC3978517__genes-05-00147-g002.jpg
ATR,"383,129,29,19",PMC3978517__genes-05-00147-g002.jpg
TOPBP1,"458,127,60,21",PMC3978517__genes-05-00147-g002.jpg
CHK1,"484,234,59,19",PMC3978517__genes-05-00147-g002.jpg
MYD88,"190,149,127,34",PMC4057701__ijms-15-07711f2.jpg
ATM,"308,229,78,33",PMC4061041__pone.0099983.g006.jpg
IGF-1,"300,336,96,30",PMC4061041__pone.0099983.g006.jpg
IGF-1R,"284,441,133,32",PMC4061041__pone.0099983.g006.jpg
EGR-1,"302,654,92,38",PMC4061041__pone.0099983.g006.jpg
ACTIVIN,"478,21,68,27",PMC4074601__nihms577797f8.jpg
SMAD2,"541,212,83,33",PMC4074601__nihms577797f8.jpg
SMAD2,"500,365,81,33",PMC4074601__nihms577797f8.jpg
SMAD2,"499,618,81,37",PMC4074601__nihms577797f8.jpg
SNON,"520,752,49,25",PMC4074601__nihms577797f8.jpg
SNON,"722,751,50,26",PMC4074601__nihms577797f8.jpg
ACTIVIN,"233,887,78,26",PMC4074601__nihms577797f8.jpg
CD61,"614,884,59,28",PMC4074601__nihms577797f8.jpg
CTF,"43,5,41,19",PMC4252843__nihms611316f5.jpg
HB-EGF,"401,59,88,19",PMC4252843__nihms611316f5.jpg
GPCR,"39,127,63,19",PMC4252843__nihms611316f5.jpg
EGFR,"531,128,59,22",PMC4252843__nihms611316f5.jpg
PKC,"263,299,44,19",PMC4252843__nihms611316f5.jpg
TLR4,"444,62,57,16",PMC4536527__srep13092-f8.jpg
