coordinates,gene_name,fig_name,evaluation,match_name
"51,0,91,29",INTEGRIN,PMC2172299__200312013f8.jpg,FP,None
"43,133,100,23",P130CAS,PMC2172299__200312013f8.jpg,FP,None
"204,131,82,19",PAXILLIN,PMC2172299__200312013f8.jpg,FP,None
"201,171,43,23",FAK,PMC2172299__200312013f8.jpg,FP,None
"218,205,84,20",PY861,PMC2172299__200312013f8.jpg,TP,PY861
"26,199,48,20",CRK,PMC2172299__200312013f8.jpg,TP,CRK
"570,223,135,19",CDH2,PMC2172299__200312013f8.jpg,FP,None
"119,304,74,24",RAC1,PMC2172299__200312013f8.jpg,TP,RAC1
"54,430,213,21",INTEGRIN-MEDIATED,PMC2172299__200312013f8.jpg,FP,None
"89,458,45,22",CELL,PMC2172299__200312013f8.jpg,FP,None
"145,458,87,26",MOTILITY,PMC2172299__200312013f8.jpg,FP,None
"464,187,-19,136",CDH2,PMC2172299__200312013f8.jpg,FP,None
"464,332,-19,115",ADHESION,PMC2172299__200312013f8.jpg,FP,None
"355,152,-24,80",PLASMA,PMC2172299__200312013f8.jpg,FP,None
"351,241,-17,108",MEMBRANE,PMC2172299__200312013f8.jpg,FP,None
"354,359,-25,102",DYNAMICS,PMC2172299__200312013f8.jpg,FP,None
"135,8,60,22",SHH,PMC2659383__bpa0019-0132-f3.jpg,TP,SHH
"274,4,121,24",CYCLOPAMINE,PMC2659383__bpa0019-0132-f3.jpg,FP,None
"270,26,93,23",HHANTAG,PMC2659383__bpa0019-0132-f3.jpg,FP,None
"204,114,49,15",SMO,PMC2659383__bpa0019-0132-f3.jpg,TP,SMO
"158,138,16,17",H,PMC2659383__bpa0019-0132-f3.jpg,FP,None
"58,219,39,16",GLI,PMC2659383__bpa0019-0132-f3.jpg,TP,GLI
"133,209,55,15",SUFU,PMC2659383__bpa0019-0132-f3.jpg,TP,SUFU
"151,301,37,14",GLI,PMC2659383__bpa0019-0132-f3.jpg,TP,GLI
"267,302,38,16",MYC,PMC2659383__bpa0019-0132-f3.jpg,TP,MYC
"8,388,74,-15",CYTOSOL,PMC2659383__bpa0019-0132-f3.jpg,FP,None
"32,426,75,-25",NUCLEUS,PMC2659383__bpa0019-0132-f3.jpg,FP,None
"164,429,63,21",TARGET,PMC2659383__bpa0019-0132-f3.jpg,FP,None
"233,433,52,17",GENES,PMC2659383__bpa0019-0132-f3.jpg,FP,None
"503,3,21,9",OH,PMC2988105__nihms224319f6.jpg,FP,None
"341,35,16,8",HO,PMC2988105__nihms224319f6.jpg,FP,None
"381,94,31,12",OH,PMC2988105__nihms224319f6.jpg,FP,None
"416,95,14,10",O,PMC2988105__nihms224319f6.jpg,FP,None
"252,172,47,16",PKC8,PMC2988105__nihms224319f6.jpg,TP,PKC
