coordinates,gene_name,fig_name,evaluation,match_name
"43,133,100,23",P130CAS,PMC2172299__200312013f8.jpg,FP,None
"201,171,43,23",FAK,PMC2172299__200312013f8.jpg,FP,None
"26,199,48,20",CRK,PMC2172299__200312013f8.jpg,TP,CRK
"570,223,135,19",CDH2,PMC2172299__200312013f8.jpg,FP,None
"119,304,74,24",RAC1,PMC2172299__200312013f8.jpg,TP,RAC1
"89,458,45,22",CELL,PMC2172299__200312013f8.jpg,FP,None
"464,187,-19,136",CDH2,PMC2172299__200312013f8.jpg,FP,None
"135,8,60,22",SHH,PMC2659383__bpa0019-0132-f3.jpg,TP,SHH
"204,114,49,15",SMO,PMC2659383__bpa0019-0132-f3.jpg,TP,SMO
"158,138,16,17",H,PMC2659383__bpa0019-0132-f3.jpg,FP,None
"58,219,39,16",GLI,PMC2659383__bpa0019-0132-f3.jpg,TP,GLI
"133,209,55,15",SUFU,PMC2659383__bpa0019-0132-f3.jpg,TP,SUFU
"151,301,37,14",GLI,PMC2659383__bpa0019-0132-f3.jpg,TP,GLI
"267,302,38,16",MYC,PMC2659383__bpa0019-0132-f3.jpg,TP,MYC
"341,35,16,8",HO,PMC2988105__nihms224319f6.jpg,FP,None
"554,172,26,9",ATM,PMC2988105__nihms224319f6.jpg,TP,ATM
"617,264,28,13",P53,PMC2988105__nihms224319f6.jpg,TP,p53
"116,271,27,12",P21,PMC2988105__nihms224319f6.jpg,TP,p53
"375,269,41,10", NAG-1,PMC2988105__nihms224319f6.jpg,TP,NAG
"32,127,66,14",ALCAM,PMC3036164__nihms259428f8.jpg,FP,None
"276,165,69,18",EDNRB,PMC3036164__nihms259428f8.jpg,TP,EDNRB
"405,209,43,14",EDN1,PMC3036164__nihms259428f8.jpg,TP,EDN1
"232,363,54,14",HAND2,PMC3036164__nihms259428f8.jpg,TP,HAND2
"313,451,87,14",NEURL,PMC3036164__nihms259428f8.jpg,FP,None
"407,451,73,18",CREST,PMC3036164__nihms259428f8.jpg,FP,None
"371,121,13,7", AKT,PMC3068308__PRI2011-620601.004.jpg,TP,AKT
"431,150,19,7",PI3K,PMC3068308__PRI2011-620601.004.jpg,TP,PI3K
"371,185,13,7", AKT,PMC3068308__PRI2011-620601.004.jpg,TP,AKT
"103,7,26,9",IL-6,PMC3087811__nihms286343f8.jpg,TP,IL-2
"55,87,38,8",GP130,PMC3087811__nihms286343f8.jpg,TP,gp130
"145,84,43,10",CD126,PMC3087811__nihms286343f8.jpg,TP,CD126
"251,142,25,10", STAT,PMC3087811__nihms286343f8.jpg,FP,None
"393,297,28,16",FOXP3,PMC3087811__nihms286343f8.jpg,TP,FOXP3
"109,396,25,10",IL-2,PMC3087811__nihms286343f8.jpg,TP,IL-2
"321,343,40,14", PKC,PMC3233205__nihms323230f1.jpg,TP,PKC
"83,549,23,19",RAF,PMC3233205__nihms323230f1.jpg,TP,RAF
"385,552,30,19",P38,PMC3233205__nihms323230f1.jpg,TP,p38
"531,553,38,13",JNK,PMC3233205__nihms323230f1.jpg,TP,JNK
"56,657,8,13", 2,PMC3233205__nihms323230f1.jpg,FP,None
"290,863,19,20", AKT,PMC3233205__nihms323230f1.jpg,TP,AKT
"290,109,34,13", ROS,PMC3341532__nihms-362544-f0008.jpg,TP,ROS
"168,193,50,15", NF-KB1,PMC3341532__nihms-362544-f0008.jpg,TP,NF-KB
"479,196,40,18",ERK,PMC3341532__nihms-362544-f0008.jpg,FP,None
"526,198,39,12", AP-1,PMC3341532__nihms-362544-f0008.jpg,FP,None
"166,278,40,17", IL-1B,PMC3341532__nihms-362544-f0008.jpg,TP,IL-1B
"343,286,52,16",COX8-2,PMC3341532__nihms-362544-f0008.jpg,FP,None
"403,286,61,16", MCP-1,PMC3341532__nihms-362544-f0008.jpg,FP,None
"472,285,45,18", IL-1B,PMC3341532__nihms-362544-f0008.jpg,TP,IL-1B
"364,834,131,45", MAM,PMC3365567__nihms378339f1.jpg,FP,None
"178,938,123,39", CBF1,PMC3365567__nihms378339f1.jpg,TP,CBF1
"435,938,94,46", CBF1,PMC3365567__nihms378339f1.jpg,TP,CBF1
"532,984,82,46", HES,PMC3365567__nihms378339f1.jpg,TP,HES
"559,382,72,-133",NOTCH2,PMC3365567__nihms378339f1.jpg,TP,NOTCH
"99,300,20,185",NOTCH2,PMC3365567__nihms378339f1.jpg,TP,NOTCH
"55,77,21,7",MET,PMC3502787__CHRP2012-817304.002.jpg,FP,None
"321,168,21,8",PI3K,PMC3502787__CHRP2012-817304.002.jpg,TP,PI3K
"356,163,18,16", P85,PMC3502787__CHRP2012-817304.002.jpg,TP,P85
"121,177,21,8",PI3K,PMC3502787__CHRP2012-817304.002.jpg,TP,PI3K
"156,172,22,16", P85,PMC3502787__CHRP2012-817304.002.jpg,TP,P85
